ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Cost,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 1 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
2264,simple,LG-1159,GEORGETTE PRINTED SAREE MOTI LACE BORDER WITH BLOUSE,1,0,visible,"SAREE : GEORGETTE WITH PRINT AND MOTI LACE BORDER 

BLOUSE :  BANGLORY SATIN  0.80meter Unstitched 

Weight : 450gm",,,,taxable,5-gst,1,,,0,0,,,,,1,,,1200,"Women > Saree, Women","Saree, blouse, women",Apparel,,,,,,,,,,0,650,,Balaji,,,,,,,,,,,,
2263,simple,,KARISHMA KAPOOR SAREEE,1,0,visible,"Fabric.     :-  Rangoli Silk 
Work        :-   Sequance Work 
Cute         :-    5.5

*👚Blouse * 👚

Fabric.     :-  Banaglori 
Cute.        :-   0.8mtr 
",,,,taxable,12-gst,1,,,0,0,,,,,1,,,1500,"Women > Saree, Women","Saree, blouse, women",Apparel,,,,,,,,,,0,850,,Balaji,,,,,,,,,,,,
